"","occurrence_data_csv.gbifID","species","lon","lat","CHELSA_bio1","CHELSA_bio4","CHELSA_bio12"
"98",5844652450,"Fagus sylvatica",-4.394228,42.989363,7.35000000000002,479.8,1219.8
"99",5844594731,"Fagus sylvatica",-2.284703,43.074367,13.05,439.1,1589
"100",5844593258,"Fagus sylvatica",-3.455041,41.24314,10.05,623.3,673.2
"101",5844579489,"Fagus sylvatica",-4.543702,42.838925,8.45000000000005,520.6,1073.2
"102",5844538665,"Fagus sylvatica",-7.014539,42.756847,9.05000000000001,481.3,1500.8
"103",5844510865,"Fagus sylvatica",-2.8441,41.998948,5.75000000000006,580.1,1087.8
"104",5844510777,"Fagus sylvatica",-4.833541,42.849783,9.55000000000001,543.7,1282
"105",5844493207,"Fagus sylvatica",-0.510533,42.702213,5.95000000000005,598.6,1851.7
"106",5844485233,"Cortaderia selloana",-2.608078,38.703315,14.35,694.7,553.3
"107",5844456293,"Fagus sylvatica",-3.455041,41.24314,10.05,623.3,673.2
"108",5844448600,"Fagus sylvatica",0.122739,42.6591,7.15000000000003,619.8,1380.7
"109",5844417351,"Fagus sylvatica",0.080467,42.538086,10.45,634.4,977.2
"110",5844397095,"Fagus sylvatica",-7.023794,42.768439,9.25000000000006,477,1467.6
"111",5844391670,"Fagus sylvatica",-3.451885,41.242607,10.05,623.3,673.2
"112",5844357512,"Fagus sylvatica",-3.493449,41.161612,7.95000000000005,624.5,902.3
"113",5844349887,"Fagus sylvatica",-3.451885,41.242607,10.05,623.3,673.2
"114",5844267411,"Fagus sylvatica",-4.54155,42.838172,8.65000000000003,520,1045.4
"115",5844253784,"Fagus sylvatica",-2.844122,41.99912,5.75000000000006,580.1,1087.8
"116",5844230895,"Fagus sylvatica",-0.934655,42.868048,8.65000000000003,542,1882.8
"117",5844228689,"Cortaderia selloana",-5.994184,43.46622,11.85,375.9,1329
"118",5844209415,"Fagus sylvatica",-3.409317,41.216653,8.15000000000003,623.6,802.2
"119",5844184896,"Cortaderia selloana",-1.747644,42.816219,12.7500000000001,535.2,847
"120",5844176772,"Cortaderia selloana",-3.828378,43.453037,14.85,374.8,1450.6
"121",5844165131,"Fagus sylvatica",-1.997095,42.963712,9.35000000000002,488.1,1882
"122",5844106681,"Fagus sylvatica",-2.844558,41.999225,5.75000000000006,580.1,1087.8
